beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score
"Punk IPA",BrewDog,"IPA - American",5.6,35,,,,,,,,2.75,"2016-07-18 01:37:19",https://untappd.com/c/337461940,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,337461940,5702,241,,3.78,3.78
Inferno,"Oakham Ales","Golden Ale",4,0,,,,,,,,2.25,"2016-07-18 01:37:45",https://untappd.com/c/337462063,https://untappd.com/beer/14764,https://untappd.com/brewery/931,England,Peterborough,"City of Peterborough",,,,337462063,14764,931,,3.49,3.49
"Imperial Russian Stout","Black Sheep","Stout - Russian Imperial",8.5,0,,,,,,,,3.25,"2016-07-18 20:58:46",https://untappd.com/c/337625601,https://untappd.com/beer/49269,https://untappd.com/brewery/134,England,Masham,"North Yorkshire",,,,337625601,49269,134,,3.69,3.69
"Cherrywood Smoked Red Ale","The Hungry Bear Brewing Co.","Smoked Beer",6.2,0,,,,,,,,3,"2016-07-18 21:43:02",https://untappd.com/c/337637778,https://untappd.com/beer/1651618,https://untappd.com/brewery/147625,England,Leeds,"West Yorkshire",,,,337637778,1651618,147625,,0,3.61
"The Rev. James Rye",Brains,"Rye Beer",4.3,0,,,,,,,,2.75,"2016-07-22 01:37:23",https://untappd.com/c/338649086,https://untappd.com/beer/968685,https://untappd.com/brewery/3779,Wales,Cardiff,Cardiff,,,,338649086,968685,3779,,3.4,3.42
Hophead,"Dark Star Brewing Co.","Pale Ale - English",3.8,50,,,,,,,,3,"2016-07-22 01:37:51",https://untappd.com/c/338649394,https://untappd.com/beer/37132,https://untappd.com/brewery/1513,England,"Partridge Green","West Sussex",,,,338649394,37132,1513,,3.52,3.52
"Hop Fiction Pale Ale",BrewDog,"Pale Ale - American",5.2,40,"Not bad for an apa more sweet lager notes than anything",,,,,,,2.25,"2016-07-24 10:26:21",https://untappd.com/c/339981967,https://untappd.com/beer/1137199,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,339981967,1137199,241,,3.77,3.77
Boltmaker,"Timothy Taylor's","English Bitter",4,0,"How I've missed you",,,,,,,4,"2016-07-24 10:26:41",https://untappd.com/c/339981984,https://untappd.com/beer/249385,https://untappd.com/brewery/2386,England,Keighley,"West Yorkshire",,,,339981984,249385,2386,,3.55,3.55
"Wolf Rock","Sharp's Brewery","IPA - Red",4.8,35,,,,,,,,3.5,"2016-07-24 21:11:49",https://untappd.com/c/340158469,https://untappd.com/beer/799468,https://untappd.com/brewery/1994,England,Rock,Cornwall,,,,340158469,799468,1994,,3.45,3.46
"Jorvik Flaxen Blond Ale","Rudgate Brewery","Blonde Ale",3.8,0,,,,,,,,3.75,"2016-07-24 21:12:21",https://untappd.com/c/340158777,https://untappd.com/beer/32713,https://untappd.com/brewery/7469,England,Tockwith,"North Yorkshire",,,,340158777,32713,7469,,3.42,3.44
"High Wire Grapefruit","Magic Rock Brewing","Pale Ale - American",5.5,35,,,,,,,,4,"2016-07-28 16:08:37",https://untappd.com/c/341266865,https://untappd.com/beer/1127731,https://untappd.com/brewery/13156,England,Huddersfield,"West Yorkshire",,,,341266865,1127731,13156,,3.64,3.64
Atlantic,"Sharp's Brewery","Pale Ale - English",4.2,26,,,,,,,,3.25,"2016-07-28 16:08:41",https://untappd.com/c/341266904,https://untappd.com/beer/704689,https://untappd.com/brewery/1994,England,Rock,Cornwall,,,,341266904,704689,1994,,3.43,3.44
"Torpedo Extra IPA","Sierra Nevada Brewing Co.","IPA - American",7.2,65,,,,,,,,3.5,"2016-07-28 16:09:16",https://untappd.com/c/341266937,https://untappd.com/beer/4997,https://untappd.com/brewery/1142,"United States",Chico,CA,,,,341266937,4997,1142,,3.75,3.75
"High Wire Grapefruit","Magic Rock Brewing","Pale Ale - American",5.5,35,,,,,,,,4,"2016-07-28 16:10:12",https://untappd.com/c/341267032,https://untappd.com/beer/1127731,https://untappd.com/brewery/13156,England,Huddersfield,"West Yorkshire",,,,341267032,1127731,13156,,3.64,3.64
"Headland Red","Wold Top Brewery ","Red Ale - American Amber / Red",4.3,0,,,,,,,,3,"2016-07-30 07:16:10",https://untappd.com/c/342125522,https://untappd.com/beer/148682,https://untappd.com/brewery/9144,England,Driffield,"East Riding of Yorkshire",,,,342125522,148682,9144,,3.33,3.36
Boltmaker,"Timothy Taylor's","English Bitter",4,0,,,,,,,,4,"2016-08-04 11:52:45",https://untappd.com/c/344094039,https://untappd.com/beer/249385,https://untappd.com/brewery/2386,England,Keighley,"West Yorkshire",,,,344094039,249385,2386,,3.55,3.55
"White IPA","Marks & Spencer","IPA - White",5.5,0,,,,,,,,2.75,"2016-08-06 19:29:05",https://untappd.com/c/345214680,https://untappd.com/beer/1195293,https://untappd.com/brewery/242395,England,"City of London",London,,,,345214680,1195293,242395,,3.49,3.52
"Double Hopped Citra IPA","Marks & Spencer","IPA - American",5.9,0,,,,,,,,2.5,"2016-08-06 19:29:55",https://untappd.com/c/345215292,https://untappd.com/beer/1118446,https://untappd.com/brewery/242395,England,"City of London",London,,,,345215292,1118446,242395,,3.53,3.53
"Vagabond Pale Ale",BrewDog,Gluten-Free,4.5,55,,,,,,,,2.75,"2016-08-07 02:19:37",https://untappd.com/c/345597393,https://untappd.com/beer/904825,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,345597393,904825,241,,3.47,3.47
"5AM Saint",BrewDog,"Red Ale - American Amber / Red",5,35,,,,,,,,3.25,"2016-08-07 02:19:43",https://untappd.com/c/345597711,https://untappd.com/beer/6976,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,345597711,6976,241,,3.64,3.64
"Oliver's Island","Fuller, Smith & Turner ","Golden Ale",3.8,4,,,,,,,,2.75,"2016-08-07 02:20:18",https://untappd.com/c/345598096,https://untappd.com/beer/858244,https://untappd.com/brewery/3296,England,London,"Greater London",,,,345598096,858244,3296,,3.26,3.26
"Electric India",BrewDog,"Saison / Farmhouse Ale",5.2,38,,,,,,,,2.5,"2016-08-07 02:20:37",https://untappd.com/c/345598486,https://untappd.com/beer/374052,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,345598486,374052,241,,3.47,3.48
"Punk IPA",BrewDog,"IPA - American",5.6,35,,,,,,,,2.75,"2016-08-07 02:21:18",https://untappd.com/c/345599092,https://untappd.com/beer/5702,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,345599092,5702,241,,3.78,3.78
"Dead Pony Club",BrewDog,"Pale Ale - American",3.8,40,,,,,,,,3.25,"2016-08-07 02:22:01",https://untappd.com/c/345599421,https://untappd.com/beer/164769,https://untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,345599421,164769,241,,3.58,3.58
"Golden Pride","Fuller, Smith & Turner ","Strong Ale - English",8.5,0,,,,,,,,3,"2016-08-07 02:23:19",https://untappd.com/c/345600620,https://untappd.com/beer/15068,https://untappd.com/brewery/3296,England,London,"Greater London",,,,345600620,15068,3296,,3.61,3.61
